模型名称,模型热度级别,模块名称,模块源码路径,含TritonKernel,Kernel数量
ABC,D,FusedCrossEntropyLoss,fla/modules/fused_cross_entropy.py,True,2
ABC,D,FusedLinearCrossEntropyLoss,fla/modules/fused_linear_cross_entropy.py,True,3
ABC,D,RMSNorm,fla/modules/layernorm.py,True,4
ABC,D,GatedMLP,fla/modules/mlp.py,False,0
ABC,D,l2_warp,fla/modules/l2warp.py,False,0
BitNet,B,FusedCrossEntropyLoss,fla/modules/fused_cross_entropy.py,True,2
BitNet,B,FusedLinearCrossEntropyLoss,fla/modules/fused_linear_cross_entropy.py,True,3
BitNet,B,RMSNorm,fla/modules/layernorm.py,True,4
BitNet,B,swiglu,fla/modules/activations.py,True,8
BitNet,B,FusedBitLinear,fla/modules/fused_bitlinear.py,True,2
BitNet,B,l2_warp,fla/modules/l2warp.py,False,0
Comba,C,FusedCrossEntropyLoss,fla/modules/fused_cross_entropy.py,True,2
Comba,C,FusedLinearCrossEntropyLoss,fla/modules/fused_linear_cross_entropy.py,True,3
Comba,C,RMSNorm,fla/modules/layernorm.py,True,4
Comba,C,GatedMLP,fla/modules/mlp.py,False,0
Comba,C,l2_warp,fla/modules/l2warp.py,False,0
DeltaNet,A,FusedCrossEntropyLoss,fla/modules/fused_cross_entropy.py,True,2
DeltaNet,A,FusedLinearCrossEntropyLoss,fla/modules/fused_linear_cross_entropy.py,True,3
DeltaNet,A,RMSNorm,fla/modules/layernorm.py,True,4
DeltaNet,A,GatedMLP,fla/modules/mlp.py,False,0
DeltaNet,A,l2_warp,fla/modules/l2warp.py,False,0
DeltaFormer,C,FusedCrossEntropyLoss,fla/modules/fused_cross_entropy.py,True,2
DeltaFormer,C,FusedLinearCrossEntropyLoss,fla/modules/fused_linear_cross_entropy.py,True,3
DeltaFormer,C,RMSNorm,fla/modules/layernorm.py,True,4
DeltaFormer,C,GatedMLP,fla/modules/mlp.py,False,0
DeltaFormer,C,l2_warp,fla/modules/l2warp.py,False,0
ForgettingTransformer,A,FusedCrossEntropyLoss,fla/modules/fused_cross_entropy.py,True,2
ForgettingTransformer,A,FusedLinearCrossEntropyLoss,fla/modules/fused_linear_cross_entropy.py,True,3
ForgettingTransformer,A,RMSNorm,fla/modules/layernorm.py,True,4
ForgettingTransformer,A,GatedMLP,fla/modules/mlp.py,False,0
ForgettingTransformer,A,l2_warp,fla/modules/l2warp.py,False,0
GatedDeltaNet,S,FusedCrossEntropyLoss,fla/modules/fused_cross_entropy.py,True,2
GatedDeltaNet,S,FusedLinearCrossEntropyLoss,fla/modules/fused_linear_cross_entropy.py,True,3
GatedDeltaNet,S,RMSNorm,fla/modules/layernorm.py,True,4
GatedDeltaNet,S,GatedMLP,fla/modules/mlp.py,False,0
GatedDeltaNet,S,l2_warp,fla/modules/l2warp.py,False,0
GatedDeltaProduct,C,FusedCrossEntropyLoss,fla/modules/fused_cross_entropy.py,True,2
GatedDeltaProduct,C,FusedLinearCrossEntropyLoss,fla/modules/fused_linear_cross_entropy.py,True,3
GatedDeltaProduct,C,RMSNorm,fla/modules/layernorm.py,True,4
GatedDeltaProduct,C,GatedMLP,fla/modules/mlp.py,False,0
GatedDeltaProduct,C,l2_warp,fla/modules/l2warp.py,False,0
GLA,A,FusedCrossEntropyLoss,fla/modules/fused_cross_entropy.py,True,2
GLA,A,FusedLinearCrossEntropyLoss,fla/modules/fused_linear_cross_entropy.py,True,3
GLA,A,RMSNorm,fla/modules/layernorm.py,True,4
GLA,A,GatedMLP,fla/modules/mlp.py,False,0
GLA,A,l2_warp,fla/modules/l2warp.py,False,0
GSA,B,FusedCrossEntropyLoss,fla/modules/fused_cross_entropy.py,True,2
GSA,B,FusedLinearCrossEntropyLoss,fla/modules/fused_linear_cross_entropy.py,True,3
GSA,B,RMSNorm,fla/modules/layernorm.py,True,4
GSA,B,GatedMLP,fla/modules/mlp.py,False,0
GSA,B,l2_warp,fla/modules/l2warp.py,False,0
HGRN,A,FusedCrossEntropyLoss,fla/modules/fused_cross_entropy.py,True,2
HGRN,A,FusedLinearCrossEntropyLoss,fla/modules/fused_linear_cross_entropy.py,True,3
HGRN,A,RMSNorm,fla/modules/layernorm.py,True,4
HGRN,A,GatedMLP,fla/modules/mlp.py,False,0
HGRN,A,l2_warp,fla/modules/l2warp.py,False,0
HGRN2,B,FusedCrossEntropyLoss,fla/modules/fused_cross_entropy.py,True,2
HGRN2,B,FusedLinearCrossEntropyLoss,fla/modules/fused_linear_cross_entropy.py,True,3
HGRN2,B,RMSNorm,fla/modules/layernorm.py,True,4
HGRN2,B,GatedMLP,fla/modules/mlp.py,False,0
HGRN2,B,l2_warp,fla/modules/l2warp.py,False,0
KDA,S,FusedCrossEntropyLoss,fla/modules/fused_cross_entropy.py,True,2
KDA,S,FusedLinearCrossEntropyLoss,fla/modules/fused_linear_cross_entropy.py,True,3
KDA,S,RMSNorm,fla/modules/layernorm.py,True,4
KDA,S,GatedMLP,fla/modules/mlp.py,False,0
KDA,S,l2_warp,fla/modules/l2warp.py,False,0
LightNet,B,FusedCrossEntropyLoss,fla/modules/fused_cross_entropy.py,True,2
LightNet,B,FusedLinearCrossEntropyLoss,fla/modules/fused_linear_cross_entropy.py,True,3
LightNet,B,RMSNorm,fla/modules/layernorm.py,True,4
LightNet,B,GatedMLP,fla/modules/mlp.py,False,0
LightNet,B,l2_warp,fla/modules/l2warp.py,False,0
LinearAttention,B,FusedCrossEntropyLoss,fla/modules/fused_cross_entropy.py,True,2
LinearAttention,B,FusedLinearCrossEntropyLoss,fla/modules/fused_linear_cross_entropy.py,True,3
LinearAttention,B,RMSNorm,fla/modules/layernorm.py,True,4
LinearAttention,B,GatedMLP,fla/modules/mlp.py,False,0
LinearAttention,B,l2_warp,fla/modules/l2warp.py,False,0
LogLinearMamba2,C,FusedCrossEntropyLoss,fla/modules/fused_cross_entropy.py,True,2
LogLinearMamba2,C,FusedLinearCrossEntropyLoss,fla/modules/fused_linear_cross_entropy.py,True,3
LogLinearMamba2,C,GatedMLP,fla/modules/mlp.py,False,0
LogLinearMamba2,C,RMSNorm,fla/modules/layernorm.py,True,4
Mamba,C,FusedCrossEntropyLoss,fla/modules/fused_cross_entropy.py,True,2
Mamba,C,FusedLinearCrossEntropyLoss,fla/modules/fused_linear_cross_entropy.py,True,3
Mamba,C,RMSNorm,fla/modules/layernorm.py,True,4
Mamba,C,l2_warp,fla/modules/l2warp.py,False,0
Mamba2,A,FusedCrossEntropyLoss,fla/modules/fused_cross_entropy.py,True,2
Mamba2,A,FusedLinearCrossEntropyLoss,fla/modules/fused_linear_cross_entropy.py,True,3
Mamba2,A,RMSNorm,fla/modules/layernorm.py,True,4
Mamba2,A,l2_warp,fla/modules/l2warp.py,False,0
MesaNet,C,FusedCrossEntropyLoss,fla/modules/fused_cross_entropy.py,True,2
MesaNet,C,FusedLinearCrossEntropyLoss,fla/modules/fused_linear_cross_entropy.py,True,3
MesaNet,C,RMSNorm,fla/modules/layernorm.py,True,4
MesaNet,C,GatedMLP,fla/modules/mlp.py,False,0
MesaNet,C,l2_warp,fla/modules/l2warp.py,False,0
MLA,S,FusedCrossEntropyLoss,fla/modules/fused_cross_entropy.py,True,2
MLA,S,FusedLinearCrossEntropyLoss,fla/modules/fused_linear_cross_entropy.py,True,3
MLA,S,RMSNorm,fla/modules/layernorm.py,True,4
MLA,S,GatedMLP,fla/modules/mlp.py,False,0
MLA,S,l2_warp,fla/modules/l2warp.py,False,0
MoM,C,FusedCrossEntropyLoss,fla/modules/fused_cross_entropy.py,True,2
MoM,C,FusedLinearCrossEntropyLoss,fla/modules/fused_linear_cross_entropy.py,True,3
MoM,C,RMSNorm,fla/modules/layernorm.py,True,4
MoM,C,GatedMLP,fla/modules/mlp.py,False,0
NSA,A,FusedCrossEntropyLoss,fla/modules/fused_cross_entropy.py,True,2
NSA,A,FusedLinearCrossEntropyLoss,fla/modules/fused_linear_cross_entropy.py,True,3
NSA,A,RMSNorm,fla/modules/layernorm.py,True,4
NSA,A,GatedMLP,fla/modules/mlp.py,False,0
NSA,A,l2_warp,fla/modules/l2warp.py,False,0
PaTHAttention,C,FusedCrossEntropyLoss,fla/modules/fused_cross_entropy.py,True,2
PaTHAttention,C,FusedLinearCrossEntropyLoss,fla/modules/fused_linear_cross_entropy.py,True,3
PaTHAttention,C,RMSNorm,fla/modules/layernorm.py,True,4
PaTHAttention,C,GatedMLP,fla/modules/mlp.py,False,0
PaTHAttention,C,l2_warp,fla/modules/l2warp.py,False,0
RetNet,A,FusedCrossEntropyLoss,fla/modules/fused_cross_entropy.py,True,2
RetNet,A,FusedLinearCrossEntropyLoss,fla/modules/fused_linear_cross_entropy.py,True,3
RetNet,A,RMSNorm,fla/modules/layernorm.py,True,4
RetNet,A,GatedMLP,fla/modules/mlp.py,False,0
RetNet,A,l2_warp,fla/modules/l2warp.py,False,0
Rodimus,C,FusedCrossEntropyLoss,fla/modules/fused_cross_entropy.py,True,2
Rodimus,C,FusedLinearCrossEntropyLoss,fla/modules/fused_linear_cross_entropy.py,True,3
Rodimus,C,RMSNorm,fla/modules/layernorm.py,True,4
Rodimus,C,GatedMLP,fla/modules/mlp.py,False,0
Rodimus,C,l2_warp,fla/modules/l2warp.py,False,0
RWKV6,B,FusedCrossEntropyLoss,fla/modules/fused_cross_entropy.py,True,2
RWKV6,B,FusedLinearCrossEntropyLoss,fla/modules/fused_linear_cross_entropy.py,True,3
RWKV6,B,LayerNorm,fla/modules/layernorm.py,True,4
RWKV6,B,ACT2FN,fla/modules/activations.py,True,8
RWKV6,B,l2_warp,fla/modules/l2warp.py,False,0
RWKV6,B,token_shift,fla/modules/token_shift.py,True,4
RWKV7,C,FusedCrossEntropyLoss,fla/modules/fused_cross_entropy.py,True,2
RWKV7,C,FusedLinearCrossEntropyLoss,fla/modules/fused_linear_cross_entropy.py,True,3
RWKV7,C,LayerNorm,fla/modules/layernorm.py,True,4
RWKV7,C,ACT2FN,fla/modules/activations.py,True,8
RWKV7,C,l2_warp,fla/modules/l2warp.py,False,0
RWKV7,C,token_shift,fla/modules/token_shift.py,True,4
Samba,A,FusedCrossEntropyLoss,fla/modules/fused_cross_entropy.py,True,2
Samba,A,FusedLinearCrossEntropyLoss,fla/modules/fused_linear_cross_entropy.py,True,3
Samba,A,RMSNorm,fla/modules/layernorm.py,True,4
Samba,A,GatedMLP,fla/modules/mlp.py,False,0
Samba,A,l2_warp,fla/modules/l2warp.py,False,0
Transformer,D,FusedCrossEntropyLoss,fla/modules/fused_cross_entropy.py,True,2
Transformer,D,FusedLinearCrossEntropyLoss,fla/modules/fused_linear_cross_entropy.py,True,3
Transformer,D,RMSNorm,fla/modules/layernorm.py,True,4
Transformer,D,GatedMLP,fla/modules/mlp.py,False,0
Transformer,D,l2_warp,fla/modules/l2warp.py,False,0
