Kernel函数名称,kernel类型,kernel来源,所属算子/模块,使用的模型列表,各模型热度级别,最高模型热度级别,模型热度得分,Kernel源码路径,Kernel行号
chunk_abc_fwd_kernel_h,cv/cube,核心算子,ABC,ABC,D,D,1,fla/ops/abc/chunk.py,18
chunk_abc_fwd_kernel_intra_K,cv/cube,核心算子,ABC,ABC,D,D,1,fla/ops/abc/chunk.py,82
chunk_abc_fwd_kernel_K,cv/cube,核心算子,ABC,ABC,D,D,1,fla/ops/abc/chunk.py,132
chunk_abc_fwd_kernel_intra_V,cv/cube,核心算子,ABC,ABC,D,D,1,fla/ops/abc/chunk.py,190
chunk_abc_fwd_kernel_V,cv/cube,核心算子,ABC,ABC,D,D,1,fla/ops/abc/chunk.py,248
chunk_abc_bwd_kernel_dh,cv/cube,核心算子,ABC,ABC,D,D,1,fla/ops/abc/chunk.py,300
chunk_abc_bwd_kernel_V,cv/cube,核心算子,ABC,ABC,D,D,1,fla/ops/abc/chunk.py,359
chunk_abc_bwd_kernel_intra_V,cv/cube,核心算子,ABC,ABC,D,D,1,fla/ops/abc/chunk.py,453
chunk_abc_bwd_kernel_intra_K,cv/cube,核心算子,ABC,ABC,D,D,1,fla/ops/abc/chunk.py,546
chunk_abc_bwd_kernel_K,cv/cube,核心算子,ABC,ABC,D,D,1,fla/ops/abc/chunk.py,604
chunk_abc_bwd_kernel_intra_KV,cv/cube,核心算子,ABC,ABC,D,D,1,fla/ops/abc/chunk.py,694
chunk_abc_bwd_kernel_rcum_inter,vv,核心算子,ABC,ABC,D,D,1,fla/ops/abc/chunk.py,748
chunk_abc_bwd_kernel_rcum_intra,cv/cube,核心算子,ABC,ABC,D,D,1,fla/ops/abc/chunk.py,784
naive_attn_decoding_kernel,vv,核心算子,Attn,"ForgettingTransformer,NSA,PaTHAttention","A,A,C",C,2,fla/ops/attn/decoding.py,29
parallel_attn_fwd_kernel,cv/cube,核心算子,Attn,"ForgettingTransformer,NSA,PaTHAttention","A,A,C",C,2,fla/ops/attn/parallel.py,25
parallel_attn_bwd_kernel_preprocess,vv,核心算子,Attn,"ForgettingTransformer,NSA,PaTHAttention","A,A,C",C,2,fla/ops/attn/parallel.py,149
parallel_attn_bwd_kernel_dq,cv/cube,核心算子,Attn,"ForgettingTransformer,NSA,PaTHAttention","A,A,C",C,2,fla/ops/attn/parallel.py,172
parallel_attn_bwd_kernel_dkv,cv/cube,核心算子,Attn,"ForgettingTransformer,NSA,PaTHAttention","A,A,C",C,2,fla/ops/attn/parallel.py,306
fused_chunk_based_fwd_kernel,cv/cube,核心算子,Based,,,,0,fla/ops/based/fused_chunk.py,15
fused_chunk_based_bwd_kernel,cv/cube,核心算子,Based,,,,0,fla/ops/based/fused_chunk.py,113
parallel_based_fwd_kernel,cv/cube,核心算子,Based,,,,0,fla/ops/based/parallel.py,18
_parallel_based_bwd_dq,cv/cube,核心算子,Based,,,,0,fla/ops/based/parallel.py,104
_parallel_based_bwd_dkv,cv/cube,核心算子,Based,,,,0,fla/ops/based/parallel.py,187
parallel_based_bwd_kernel,vv,核心算子,Based,,,,0,fla/ops/based/parallel.py,268
fused_recurrent_comba_fwd_kernel,vv,核心算子,Comba,Comba,C,C,2,fla/ops/comba/fused_recurrent.py,21
chunk_comba_cumsum_scalar_fwd_kernel,vv,核心算子,Comba,Comba,C,C,2,fla/ops/comba/utils.py,28
chunk_comba_cumsum_scalar_bwd_kernel,vv,核心算子,Comba,Comba,C,C,2,fla/ops/comba/utils.py,107
chunk_scaled_dot_comba_pkt_fwd_kernel,cv/cube,核心算子,Comba,Comba,C,C,2,fla/ops/comba/wy_fast.py,31
prepare_wy_repr_bwd_kernel,cv/cube,核心算子,Comba,Comba,C,C,2,fla/ops/comba/wy_fast.py,164
recompute_w_u_fwd_kernel,cv/cube,核心算子,Comba,Comba,C,C,2,fla/ops/comba/wy_fast.py,300
chunk_gated_delta_rule_fwd_kernel_h_blockdim64,cv/cube,共享模块,common/chunk_delta_h,"Comba,DeltaNet,GatedDeltaNet,GatedDeltaProduct,KDA,MoM","C,A,S,C,S,C",S,5,fla/ops/common/chunk_delta_h.py,39
chunk_gated_delta_rule_bwd_kernel_dhu_blockdim64,cv/cube,共享模块,common/chunk_delta_h,"Comba,DeltaNet,GatedDeltaNet,GatedDeltaProduct,KDA,MoM","C,A,S,C,S,C",S,5,fla/ops/common/chunk_delta_h.py,344
chunk_fwd_kernel_h,cv/cube,共享模块,common/chunk_h,"GLA,GSA,HGRN2,LightNet,MesaNet,RWKV6,Rodimus","A,B,B,B,C,B,C",C,2,fla/ops/common/chunk_h.py,35
chunk_bwd_kernel_dh,cv/cube,共享模块,common/chunk_h,"GLA,GSA,HGRN2,LightNet,MesaNet,RWKV6,Rodimus","A,B,B,B,C,B,C",C,2,fla/ops/common/chunk_h.py,162
chunk_fwd_kernel_h_parallel,cv/cube,共享模块,common/chunk_h_parallel,,,,0,fla/ops/common/chunk_h_parallel.py,38
chunk_fwd_kernel_h_reduction,vv,共享模块,common/chunk_h_parallel,,,,0,fla/ops/common/chunk_h_parallel.py,153
chunk_bwd_kernel_dh_parallel,cv/cube,共享模块,common/chunk_h_parallel,,,,0,fla/ops/common/chunk_h_parallel.py,239
chunk_bwd_kernel_dh_reduction,vv,共享模块,common/chunk_h_parallel,,,,0,fla/ops/common/chunk_h_parallel.py,343
chunk_fwd_kernel_h_split,cv/cube,共享模块,common/chunk_h_split,,,,0,fla/ops/common/chunk_h_split.py,32
chunk_fwd_kernel_h_reduction,vv,共享模块,common/chunk_h_split,,,,0,fla/ops/common/chunk_h_split.py,152
chunk_bwd_kernel_dh_split,cv/cube,共享模块,common/chunk_h_split,,,,0,fla/ops/common/chunk_h_split.py,239
chunk_bwd_kernel_dh_reduction,vv,共享模块,common/chunk_h_split,,,,0,fla/ops/common/chunk_h_split.py,358
chunk_fwd_kernel_o,cv/cube,共享模块,common/chunk_o,"Comba,DeltaNet,GatedDeltaNet,GatedDeltaProduct,MoM","C,A,S,C,C",S,5,fla/ops/common/chunk_o.py,34
chunk_bwd_kernel_dqkwg,cv/cube,共享模块,common/chunk_o,"Comba,DeltaNet,GatedDeltaNet,GatedDeltaProduct,MoM","C,A,S,C,C",S,5,fla/ops/common/chunk_o.py,156
chunk_bwd_kernel_dv,cv/cube,共享模块,common/chunk_o,"Comba,DeltaNet,GatedDeltaNet,GatedDeltaProduct,MoM","C,A,S,C,C",S,5,fla/ops/common/chunk_o.py,358
chunk_bwd_kernel_dv_local,cv/cube,共享模块,common/chunk_o,"Comba,DeltaNet,GatedDeltaNet,GatedDeltaProduct,MoM","C,A,S,C,C",S,5,fla/ops/common/chunk_o.py,460
chunk_scaled_dot_kkt_fwd_kernel,cv/cube,共享模块,common/chunk_scaled_dot_kkt,"DeltaNet,GatedDeltaProduct,PaTHAttention","A,C,C",C,2,fla/ops/common/chunk_scaled_dot_kkt.py,31
fused_chunk_fwd_kernel,cv/cube,共享模块,common/fused_chunk,,,,0,fla/ops/common/fused_chunk.py,44
fused_chunk_bwd_kernel,cv/cube,共享模块,common/fused_chunk,,,,0,fla/ops/common/fused_chunk.py,178
fused_recurrent_fwd_kernel,vv,共享模块,common/fused_recurrent,"GLA,GSA,HGRN2,LightNet,Rodimus","A,B,B,B,C",C,2,fla/ops/common/fused_recurrent.py,29
fused_recurrent_bwd_kernel,vv,共享模块,common/fused_recurrent,"GLA,GSA,HGRN2,LightNet,Rodimus","A,B,B,B,C",C,2,fla/ops/common/fused_recurrent.py,142
pre_process_fwd_kernel_merged,cv/cube,核心算子,CP,"GatedDeltaNet,GatedDeltaProduct,KDA,MoM","S,C,S,C",S,5,fla/ops/cp/chunk_delta_h.py,40
merge_fwd_bwd_kernel,cv/cube,核心算子,CP,"GatedDeltaNet,GatedDeltaProduct,KDA,MoM","S,C,S,C",S,5,fla/ops/cp/chunk_delta_h.py,285
pre_process_bwd_kernel_merged,cv/cube,核心算子,CP,"GatedDeltaNet,GatedDeltaProduct,KDA,MoM","S,C,S,C",S,5,fla/ops/cp/chunk_delta_h.py,440
fused_recurrent_delta_rule_fwd_kernel,vv,核心算子,DeltaRule,"DeltaNet,GatedDeltaProduct","A,C",C,2,fla/ops/delta_rule/fused_recurrent.py,21
fused_recurrent_delta_rule_bwd_kernel,vv,核心算子,DeltaRule,"DeltaNet,GatedDeltaProduct","A,C",C,2,fla/ops/delta_rule/fused_recurrent.py,108
chunk_transform_qk_fwd_kernel,cv/cube,核心算子,DeltaRule,"DeltaNet,GatedDeltaProduct","A,C",C,2,fla/ops/delta_rule/parallel.py,27
save_intra_chunk_attn,vv,核心算子,DeltaRule,"DeltaNet,GatedDeltaProduct","A,C",C,2,fla/ops/delta_rule/parallel.py,135
parallel_delta_rule_fwd_kernel,cv/cube,核心算子,DeltaRule,"DeltaNet,GatedDeltaProduct","A,C",C,2,fla/ops/delta_rule/parallel.py,152
recompute_w_u_fwd_kernel,cv/cube,核心算子,DeltaRule,"DeltaNet,GatedDeltaProduct","A,C",C,2,fla/ops/delta_rule/wy_fast.py,32
prepare_wy_repr_bwd_kernel,cv/cube,核心算子,DeltaRule,"DeltaNet,GatedDeltaProduct","A,C",C,2,fla/ops/delta_rule/wy_fast.py,94
parallel_deltaformer_fwd_kernel,cv/cube,核心算子,Deltaformer,DeltaFormer,C,C,2,fla/ops/deltaformer/parallel.py,135
parallel_deltaformer_bwd_kernel_u,cv/cube,核心算子,Deltaformer,DeltaFormer,C,C,2,fla/ops/deltaformer/parallel.py,276
parallel_deltaformer_bwd_kernel_row_sum,cv/cube,核心算子,Deltaformer,DeltaFormer,C,C,2,fla/ops/deltaformer/parallel.py,363
parallel_deltaformer_bwd_kernel_qk,cv/cube,核心算子,Deltaformer,DeltaFormer,C,C,2,fla/ops/deltaformer/parallel.py,458
chunk_gated_delta_product_fwd_kernel_h_blockdim64,cv/cube,核心算子,GatedDeltaProduct,GatedDeltaProduct,C,C,2,fla/ops/gated_delta_product/chunk_deltaproduct_h.py,37
chunk_gated_delta_product_bwd_kernel_dhu_blockdim64,cv/cube,核心算子,GatedDeltaProduct,GatedDeltaProduct,C,C,2,fla/ops/gated_delta_product/chunk_deltaproduct_h.py,216
chunk_fwd_kernel_o,cv/cube,核心算子,GatedDeltaProduct,GatedDeltaProduct,C,C,2,fla/ops/gated_delta_product/chunk_deltaproduct_o.py,35
chunk_gated_delta_rule_fwd_kkt_solve_kernel,cv/cube,核心算子,GatedDeltaRule,"GatedDeltaNet,GatedDeltaProduct,MoM","S,C,C",S,5,fla/ops/gated_delta_rule/chunk_fwd.py,36
fused_recurrent_gated_delta_rule_fwd_kernel,vv,核心算子,GatedDeltaRule,"GatedDeltaNet,GatedDeltaProduct,MoM","S,C,C",S,5,fla/ops/gated_delta_rule/fused_recurrent.py,24
gdn_gate_chunk_cumsum_scalar_kernel,vv,核心算子,GatedDeltaRule,"GatedDeltaNet,GatedDeltaProduct,MoM","S,C,C",S,5,fla/ops/gated_delta_rule/gate.py,60
gdn_gate_bwd_kernel,vv,核心算子,GatedDeltaRule,"GatedDeltaNet,GatedDeltaProduct,MoM","S,C,C",S,5,fla/ops/gated_delta_rule/gate.py,116
gdn_gate_fwd_kernel,vv,核心算子,GatedDeltaRule,"GatedDeltaNet,GatedDeltaProduct,MoM","S,C,C",S,5,fla/ops/gated_delta_rule/gate.py,235
safe_dot,cv/cube,核心算子,GatedDeltaRule,"GatedDeltaNet,GatedDeltaProduct,MoM","S,C,C",S,5,fla/ops/gated_delta_rule/wy_fast.py,27
safe_dot,cv/cube,核心算子,GatedDeltaRule,"GatedDeltaNet,GatedDeltaProduct,MoM","S,C,C",S,5,fla/ops/gated_delta_rule/wy_fast.py,27
recompute_w_u_fwd_kernel,cv/cube,核心算子,GatedDeltaRule,"GatedDeltaNet,GatedDeltaProduct,MoM","S,C,C",S,5,fla/ops/gated_delta_rule/wy_fast.py,56
prepare_wy_repr_bwd_kernel,cv/cube,核心算子,GatedDeltaRule,"GatedDeltaNet,GatedDeltaProduct,MoM","S,C,C",S,5,fla/ops/gated_delta_rule/wy_fast.py,132
chunk_oja_fwd_kernel_h_blockdim64,cv/cube,核心算子,GatedOjaRule,,,,0,fla/ops/gated_oja_rule/chunk_h.py,37
chunk_oja_bwd_kernel_dhu_blockdim64,cv/cube,核心算子,GatedOjaRule,,,,0,fla/ops/gated_oja_rule/chunk_h.py,264
chunk_gsa_bwd_k_kernel_dqkvg,cv/cube,核心算子,GatedOjaRule,,,,0,fla/ops/gated_oja_rule/chunk_h.py,527
chunk_oja_bwd_kernel_dvwg_h,cv/cube,核心算子,GatedOjaRule,,,,0,fla/ops/gated_oja_rule/chunk_h.py,663
chunk_scaled_dot_kkt_fwd_kernel,cv/cube,核心算子,GatedOjaRule,,,,0,fla/ops/gated_oja_rule/chunk_kkt.py,29
chunk_scaled_dot_kkt_fwd_kernel_intra_sub_inter,cv/cube,核心算子,GatedOjaRule,,,,0,fla/ops/gated_oja_rule/chunk_kkt.py,90
chunk_scaled_dot_kkt_fwd_kernel_intra_sub_intra,vv,核心算子,GatedOjaRule,,,,0,fla/ops/gated_oja_rule/chunk_kkt.py,166
chunk_scaled_dot_kkt_bwd_kernel_gk,cv/cube,核心算子,GatedOjaRule,,,,0,fla/ops/gated_oja_rule/chunk_kkt.py,230
