Kernel函数名称,kernel来源,共享算子/模块数量,共享算子/模块列表,使用模型数量,复用度级别,原始复用度得分,全局排名复用度得分,模块内排名复用度得分,是否为common目录kernel,Kernel源码路径,Kernel行号
chunk_abc_fwd_kernel_h,核心算子,1,ABC,1,极低,1,1,1,否,fla/ops/abc/chunk.py,18
chunk_abc_fwd_kernel_intra_K,核心算子,1,ABC,1,极低,1,1,1,否,fla/ops/abc/chunk.py,82
chunk_abc_fwd_kernel_K,核心算子,1,ABC,1,极低,1,1,1,否,fla/ops/abc/chunk.py,132
chunk_abc_fwd_kernel_intra_V,核心算子,1,ABC,1,极低,1,1,1,否,fla/ops/abc/chunk.py,190
chunk_abc_fwd_kernel_V,核心算子,1,ABC,1,极低,1,1,1,否,fla/ops/abc/chunk.py,248
chunk_abc_bwd_kernel_dh,核心算子,1,ABC,1,极低,1,1,1,否,fla/ops/abc/chunk.py,300
chunk_abc_bwd_kernel_V,核心算子,1,ABC,1,极低,1,1,1,否,fla/ops/abc/chunk.py,359
chunk_abc_bwd_kernel_intra_V,核心算子,1,ABC,1,极低,1,1,1,否,fla/ops/abc/chunk.py,453
chunk_abc_bwd_kernel_intra_K,核心算子,1,ABC,1,极低,1,1,1,否,fla/ops/abc/chunk.py,546
chunk_abc_bwd_kernel_K,核心算子,1,ABC,1,极低,1,1,1,否,fla/ops/abc/chunk.py,604
chunk_abc_bwd_kernel_intra_KV,核心算子,1,ABC,1,极低,1,1,1,否,fla/ops/abc/chunk.py,694
chunk_abc_bwd_kernel_rcum_inter,核心算子,1,ABC,1,极低,1,1,1,否,fla/ops/abc/chunk.py,748
chunk_abc_bwd_kernel_rcum_intra,核心算子,1,ABC,1,极低,1,1,1,否,fla/ops/abc/chunk.py,784
naive_attn_decoding_kernel,核心算子,4,"Attn,forgetting_attn,nsa,path_attn",3,极高,5,5,5,否,fla/ops/attn/decoding.py,29
parallel_attn_fwd_kernel,核心算子,4,"Attn,forgetting_attn,nsa,path_attn",3,极高,5,5,5,否,fla/ops/attn/parallel.py,25
parallel_attn_bwd_kernel_preprocess,核心算子,4,"Attn,forgetting_attn,nsa,path_attn",3,极高,5,5,5,否,fla/ops/attn/parallel.py,149
parallel_attn_bwd_kernel_dq,核心算子,4,"Attn,forgetting_attn,nsa,path_attn",3,极高,5,5,5,否,fla/ops/attn/parallel.py,172
parallel_attn_bwd_kernel_dkv,核心算子,4,"Attn,forgetting_attn,nsa,path_attn",3,极高,5,5,5,否,fla/ops/attn/parallel.py,306
fused_chunk_based_fwd_kernel,核心算子,1,Based,0,极低,1,1,1,否,fla/ops/based/fused_chunk.py,15
fused_chunk_based_bwd_kernel,核心算子,1,Based,0,极低,1,1,1,否,fla/ops/based/fused_chunk.py,113
parallel_based_fwd_kernel,核心算子,1,Based,0,极低,1,1,1,否,fla/ops/based/parallel.py,18
_parallel_based_bwd_dq,核心算子,1,Based,0,极低,1,1,1,否,fla/ops/based/parallel.py,104
_parallel_based_bwd_dkv,核心算子,1,Based,0,极低,1,1,1,否,fla/ops/based/parallel.py,187
parallel_based_bwd_kernel,核心算子,1,Based,0,极低,1,1,1,否,fla/ops/based/parallel.py,268
fused_recurrent_comba_fwd_kernel,核心算子,1,Comba,1,极低,1,1,1,否,fla/ops/comba/fused_recurrent.py,21
chunk_comba_cumsum_scalar_fwd_kernel,核心算子,1,Comba,1,极低,1,1,1,否,fla/ops/comba/utils.py,28
chunk_comba_cumsum_scalar_bwd_kernel,核心算子,1,Comba,1,极低,1,1,1,否,fla/ops/comba/utils.py,107
chunk_scaled_dot_comba_pkt_fwd_kernel,核心算子,1,Comba,1,极低,1,1,1,否,fla/ops/comba/wy_fast.py,31
prepare_wy_repr_bwd_kernel,核心算子,1,Comba,1,极低,1,1,1,否,fla/ops/comba/wy_fast.py,164
recompute_w_u_fwd_kernel,核心算子,1,Comba,1,极低,1,1,1,否,fla/ops/comba/wy_fast.py,300
chunk_gated_delta_rule_fwd_kernel_h_blockdim64,共享模块,4,"comba,delta_rule,gated_delta_rule,kda",6,极高,5,2,5,是,fla/ops/common/chunk_delta_h.py,39
chunk_gated_delta_rule_bwd_kernel_dhu_blockdim64,共享模块,4,"comba,delta_rule,gated_delta_rule,kda",6,极高,5,2,5,是,fla/ops/common/chunk_delta_h.py,344
chunk_fwd_kernel_h,共享模块,5,"gla,gsa,mesa_net,rwkv6,simple_gla",7,极高,5,2,5,是,fla/ops/common/chunk_h.py,35
chunk_bwd_kernel_dh,共享模块,5,"gla,gsa,mesa_net,rwkv6,simple_gla",7,极高,5,2,5,是,fla/ops/common/chunk_h.py,162
chunk_fwd_kernel_h_parallel,共享模块,0,,0,极低,1,1,1,是,fla/ops/common/chunk_h_parallel.py,38
chunk_fwd_kernel_h_reduction,共享模块,0,,0,极低,1,1,1,是,fla/ops/common/chunk_h_parallel.py,153
chunk_bwd_kernel_dh_parallel,共享模块,0,,0,极低,1,1,1,是,fla/ops/common/chunk_h_parallel.py,239
chunk_bwd_kernel_dh_reduction,共享模块,0,,0,极低,1,1,1,是,fla/ops/common/chunk_h_parallel.py,343
chunk_fwd_kernel_h_split,共享模块,0,,0,极低,1,1,1,是,fla/ops/common/chunk_h_split.py,32
chunk_fwd_kernel_h_reduction,共享模块,0,,0,极低,1,1,1,是,fla/ops/common/chunk_h_split.py,152
chunk_bwd_kernel_dh_split,共享模块,0,,0,极低,1,1,1,是,fla/ops/common/chunk_h_split.py,239
chunk_bwd_kernel_dh_reduction,共享模块,0,,0,极低,1,1,1,是,fla/ops/common/chunk_h_split.py,358
chunk_fwd_kernel_o,共享模块,4,"comba,delta_rule,gated_delta_rule,simple_gla",5,极高,5,2,5,是,fla/ops/common/chunk_o.py,34
chunk_bwd_kernel_dqkwg,共享模块,4,"comba,delta_rule,gated_delta_rule,simple_gla",5,极高,5,2,5,是,fla/ops/common/chunk_o.py,156
chunk_bwd_kernel_dv,共享模块,4,"comba,delta_rule,gated_delta_rule,simple_gla",5,极高,5,2,5,是,fla/ops/common/chunk_o.py,358
chunk_bwd_kernel_dv_local,共享模块,4,"comba,delta_rule,gated_delta_rule,simple_gla",5,极高,5,2,5,是,fla/ops/common/chunk_o.py,460
chunk_scaled_dot_kkt_fwd_kernel,共享模块,3,"delta_rule,gated_delta_product,path_attn",3,高,4,2,4,是,fla/ops/common/chunk_scaled_dot_kkt.py,31
fused_chunk_fwd_kernel,共享模块,1,simple_gla,0,极低,1,1,1,是,fla/ops/common/fused_chunk.py,44
fused_chunk_bwd_kernel,共享模块,1,simple_gla,0,极低,1,1,1,是,fla/ops/common/fused_chunk.py,178
fused_recurrent_fwd_kernel,共享模块,3,"gla,gsa,simple_gla",5,高,4,2,4,是,fla/ops/common/fused_recurrent.py,29
