Kernel函数名称,kernel类型,kernel来源,模型热度得分,复用度得分,核心程度得分,测试缺失度得分,技术复杂度得分,加权总分,调整加成,最终总分,优先级等级,使用的模型列表,共享算子/模块列表,Kernel源码路径,Kernel行号
chunk_gla_fwd_kernel_o,cv/cube,核心算子,5,5,5,3,4,4.8,0.0,4.8,P0,"GLA,GSA,HGRN2,KDA,LightNet,RWKV6,Rodimus","GLA,gsa,kda,rwkv6",fla/ops/gla/chunk.py,312
chunk_gla_bwd_kernel_intra,cv/cube,核心算子,5,5,4,3,5,4.7,0.0,4.7,P0,"GLA,GSA,HGRN2,KDA,LightNet,RWKV6,Rodimus","GLA,gsa,kda,rwkv6",fla/ops/gla/chunk.py,398
chunk_gla_bwd_kernel_inter,cv/cube,核心算子,5,5,4,3,5,4.7,0.0,4.7,P0,"GLA,GSA,HGRN2,KDA,LightNet,RWKV6,Rodimus","GLA,gsa,kda,rwkv6",fla/ops/gla/chunk.py,664
chunk_gla_bwd_kernel_dv,cv/cube,核心算子,5,5,4,3,4,4.6,0.0,4.6,P0,"GLA,GSA,HGRN2,KDA,LightNet,RWKV6,Rodimus","GLA,gsa,kda,rwkv6",fla/ops/gla/chunk.py,587
chunk_gla_fwd_A_kernel_intra_sub_inter,cv/cube,核心算子,5,5,4,3,4,4.6,0.0,4.6,P0,"GLA,GSA,HGRN2,KDA,LightNet,RWKV6,Rodimus","GLA,gsa,kda,rwkv6",fla/ops/gla/chunk.py,35
pre_process_fwd_kernel_merged,cv/cube,核心算子,5,4,5,1,5,4.5,0.0,4.5,P0,"GatedDeltaNet,GatedDeltaProduct,KDA,MoM","CP,gated_delta_rule,kda",fla/ops/cp/chunk_delta_h.py,40
chunk_gla_bwd_kernel_dA,cv/cube,核心算子,5,5,4,3,3,4.5,0.0,4.5,P0,"GLA,GSA,HGRN2,KDA,LightNet,RWKV6,Rodimus","GLA,gsa,kda,rwkv6",fla/ops/gla/chunk.py,534
chunk_gla_fwd_A_kernel_intra_sub_intra,vv,核心算子,5,5,4,3,3,4.5,0.0,4.5,P0,"GLA,GSA,HGRN2,KDA,LightNet,RWKV6,Rodimus","GLA,gsa,kda,rwkv6",fla/ops/gla/chunk.py,109
chunk_gla_fwd_A_kernel_intra_sub_intra_split,vv,核心算子,5,5,4,3,3,4.5,0.0,4.5,P0,"GLA,GSA,HGRN2,KDA,LightNet,RWKV6,Rodimus","GLA,gsa,kda,rwkv6",fla/ops/gla/chunk.py,183
chunk_gla_fwd_A_kernel_intra_sub_intra_merge,vv,核心算子,5,5,4,3,2,4.4,0.0,4.4,P0,"GLA,GSA,HGRN2,KDA,LightNet,RWKV6,Rodimus","GLA,gsa,kda,rwkv6",fla/ops/gla/chunk.py,262
pre_process_bwd_kernel_merged,cv/cube,核心算子,5,4,4,1,5,4.3,0.0,4.3,P0,"GatedDeltaNet,GatedDeltaProduct,KDA,MoM","CP,gated_delta_rule,kda",fla/ops/cp/chunk_delta_h.py,440
merge_fwd_bwd_kernel,cv/cube,核心算子,5,4,4,1,5,4.3,0.0,4.3,P0,"GatedDeltaNet,GatedDeltaProduct,KDA,MoM","CP,gated_delta_rule,kda",fla/ops/cp/chunk_delta_h.py,285
chunk_gated_delta_rule_fwd_kkt_solve_kernel,cv/cube,核心算子,5,2,5,3,5,4.0,0.0,4.0,P0,"GatedDeltaNet,GatedDeltaProduct,MoM",GatedDeltaRule,fla/ops/gated_delta_rule/chunk_fwd.py,36
parallel_attn_fwd_kernel,cv/cube,核心算子,2,5,5,3,5,3.85,0.0,3.85,P1,"ForgettingTransformer,NSA,PaTHAttention","Attn,forgetting_attn,nsa,path_attn",fla/ops/attn/parallel.py,25
fused_recurrent_gated_delta_rule_fwd_kernel,vv,核心算子,5,2,5,3,3,3.8,0.0,3.8,P1,"GatedDeltaNet,GatedDeltaProduct,MoM",GatedDeltaRule,fla/ops/gated_delta_rule/fused_recurrent.py,24
safe_dot,cv/cube,核心算子,5,2,5,3,3,3.8,0.0,3.8,P1,"GatedDeltaNet,GatedDeltaProduct,MoM",GatedDeltaRule,fla/ops/gated_delta_rule/wy_fast.py,27
recompute_w_u_fwd_kernel,cv/cube,核心算子,5,2,5,1,4,3.8,0.0,3.8,P1,"GatedDeltaNet,GatedDeltaProduct,MoM",GatedDeltaRule,fla/ops/gated_delta_rule/wy_fast.py,56
prepare_wy_repr_bwd_kernel,cv/cube,核心算子,5,2,4,1,5,3.7,0.0,3.7,P1,"GatedDeltaNet,GatedDeltaProduct,MoM",GatedDeltaRule,fla/ops/gated_delta_rule/wy_fast.py,132
parallel_attn_bwd_kernel_dkv,cv/cube,核心算子,2,5,4,3,5,3.65,0.0,3.65,P1,"ForgettingTransformer,NSA,PaTHAttention","Attn,forgetting_attn,nsa,path_attn",fla/ops/attn/parallel.py,306
parallel_attn_bwd_kernel_dq,cv/cube,核心算子,2,5,4,3,5,3.65,0.0,3.65,P1,"ForgettingTransformer,NSA,PaTHAttention","Attn,forgetting_attn,nsa,path_attn",fla/ops/attn/parallel.py,172
recompute_w_u_fwd_kda_kernel,cv/cube,核心算子,5,1,5,3,4,3.6,0.0,3.6,P1,KDA,KDA,fla/ops/kda/wy_fast.py,31
gdn_gate_fwd_kernel,vv,核心算子,5,2,5,3,1,3.6,0.0,3.6,P1,"GatedDeltaNet,GatedDeltaProduct,MoM",GatedDeltaRule,fla/ops/gated_delta_rule/gate.py,235
chunk_gated_delta_rule_bwd_kernel_dhu_blockdim64,cv/cube,共享模块,5,2,3,2,5,3.55,0.0,3.55,P1,"Comba,DeltaNet,GatedDeltaNet,GatedDeltaProduct,KDA,MoM","comba,delta_rule,gated_delta_rule,kda",fla/ops/common/chunk_delta_h.py,344
chunk_gated_delta_rule_fwd_kernel_h_blockdim64,cv/cube,共享模块,5,2,3,2,5,3.55,0.0,3.55,P1,"Comba,DeltaNet,GatedDeltaNet,GatedDeltaProduct,KDA,MoM","comba,delta_rule,gated_delta_rule,kda",fla/ops/common/chunk_delta_h.py,39
chunk_bwd_kernel_dqkwg,cv/cube,共享模块,5,2,3,1,5,3.5,0.0,3.5,P1,"Comba,DeltaNet,GatedDeltaNet,GatedDeltaProduct,MoM","comba,delta_rule,gated_delta_rule,simple_gla",fla/ops/common/chunk_o.py,156
prepare_wy_repr_bwd_kda_kernel,cv/cube,核心算子,5,1,4,3,5,3.5,0.0,3.5,P1,KDA,KDA,fla/ops/kda/wy_fast.py,118
chunk_fwd_kernel_o,cv/cube,共享模块,5,2,3,1,5,3.5,0.0,3.5,P1,"Comba,DeltaNet,GatedDeltaNet,GatedDeltaProduct,MoM","comba,delta_rule,gated_delta_rule,simple_gla",fla/ops/common/chunk_o.py,34
chunk_bwd_kernel_dv,cv/cube,共享模块,5,2,3,1,5,3.5,0.0,3.5,P1,"Comba,DeltaNet,GatedDeltaNet,GatedDeltaProduct,MoM","comba,delta_rule,gated_delta_rule,simple_gla",fla/ops/common/chunk_o.py,358
chunk_kda_bwd_kernel_intra,cv/cube,核心算子,5,1,4,3,5,3.5,0.0,3.5,P1,KDA,KDA,fla/ops/kda/chunk_intra.py,364
chunk_kda_fwd_kernel_intra_sub_chunk,cv/cube,核心算子,5,1,4,3,5,3.5,0.0,3.5,P1,KDA,KDA,fla/ops/kda/chunk_intra.py,640
