Kernel函数名称,kernel类型,kernel来源,函数行数,tl.dot调用次数,技术复杂度级别,技术复杂度得分,判定依据,Kernel源码路径,Kernel行号
chunk_gated_delta_product_bwd_kernel_dhu_blockdim64,cv/cube,核心算子,148,12,极高,5,cv/cube+148行+12个tl.dot,fla/ops/gated_delta_product/chunk_deltaproduct_h.py,216
chunk_gated_delta_rule_fwd_kkt_solve_kernel,cv/cube,核心算子,239,26,极高,5,cv/cube+239行+26个tl.dot,fla/ops/gated_delta_rule/chunk_fwd.py,36
chunk_abc_bwd_kernel_intra_V,cv/cube,核心算子,72,2,极高,5,cv/cube+72行+2个tl.dot,fla/ops/abc/chunk.py,453
causal_conv1d_update_kernel,vv,共享模块,46,0,中,3,vv+46行,fla/modules/conv/triton/kernels.py,325
swish_bwd_kernel,vv,共享模块,13,0,极低,1,vv+13行,fla/modules/activations.py,355
chunk_generalized_iplr_delta_rule_fwd_kernel_h,cv/cube,核心算子,41,3,高,4,cv/cube+41行,fla/ops/generalized_delta_rule/iplr/chunk.py,42
tanh,vv,共享模块,3,0,极低,1,vv+3行,fla/ops/utils/matmul.py,168
recompute_w_u_fwd_kernel,cv/cube,核心算子,31,2,高,4,cv/cube+31行,fla/ops/comba/wy_fast.py,300
fused_recurrent_bwd_kernel,vv,核心算子,110,0,中,3,vv+110行,fla/ops/generalized_delta_rule/iplr/fused_recurrent.py,121
chunk_bwd_kernel_dqkwg,cv/cube,共享模块,138,12,极高,5,cv/cube+138行+12个tl.dot,fla/ops/common/chunk_o.py,156
chunk_abc_bwd_kernel_intra_K,cv/cube,核心算子,39,1,高,4,cv/cube+39行,fla/ops/abc/chunk.py,546
prepare_wy_repr_bwd_kda_kernel,cv/cube,核心算子,58,6,极高,5,cv/cube+58行+6个tl.dot,fla/ops/kda/wy_fast.py,118
prepare_wy_repr_fwd_kernel_chunk32,vv,核心算子,19,0,低,2,vv+19行,fla/ops/generalized_delta_rule/dplr/wy_fast_fwd.py,29
fused_chunk_based_fwd_kernel,cv/cube,核心算子,67,6,极高,5,cv/cube+67行+6个tl.dot,fla/ops/based/fused_chunk.py,15
prepare_wy_repr_bwd_kernel,cv/cube,核心算子,86,9,极高,5,cv/cube+86行+9个tl.dot,fla/ops/gated_delta_rule/wy_fast.py,132
parallel_nsa_fwd_kernel,cv/cube,核心算子,52,2,极高,5,cv/cube+52行+2个tl.dot,fla/ops/nsa/parallel.py,181
parallel_simple_gla_bwd_kernel_dkv,cv/cube,核心算子,81,8,极高,5,cv/cube+81行+8个tl.dot,fla/ops/simple_gla/parallel.py,258
