Kernel函数名称,kernel类型,所属模块,模型热度得分,复用度得分,核心程度得分,测试缺失度得分,技术复杂度得分,加权总分,模块内排名,模块内优先级等级,Kernel源码路径,Kernel行号
chunk_gated_delta_rule_bwd_kernel_dhu_blockdim64,cv/cube,common,5,5,3,2,5,4.45,1,P0,fla/ops/common/chunk_delta_h.py,344
chunk_gated_delta_rule_fwd_kernel_h_blockdim64,cv/cube,common,5,5,3,2,5,4.45,2,P0,fla/ops/common/chunk_delta_h.py,39
chunk_bwd_kernel_dqkwg,cv/cube,common,5,5,3,1,5,4.4,3,P0,fla/ops/common/chunk_o.py,156
chunk_fwd_kernel_o,cv/cube,common,5,5,3,1,5,4.4,4,P0,fla/ops/common/chunk_o.py,34
chunk_bwd_kernel_dv,cv/cube,common,5,5,3,1,5,4.4,5,P0,fla/ops/common/chunk_o.py,358
tanh,vv,common,5,5,3,5,3,4.4,6,P0,fla/ops/utils/op.py,25
chunk_bwd_kernel_dv_local,cv/cube,common,5,5,3,1,4,4.3,7,P0,fla/ops/common/chunk_o.py,460
log,vv,common,5,5,3,5,1,4.2,8,P0,fla/ops/utils/op.py,21
make_tensor_descriptor,vv,common,5,5,3,5,1,4.2,9,P0,fla/ops/utils/op.py,65
exp,vv,common,5,5,3,5,1,4.2,10,P0,fla/ops/utils/op.py,17
swiglu_fwdbwd_kernel,vv,activations,5,5,3,3,2,4.2,11,P0,fla/modules/activations.py,589
log2,vv,common,5,5,3,5,1,4.2,12,P0,fla/ops/utils/op.py,23
gather,vv,common,5,5,3,5,1,4.2,13,P0,fla/ops/utils/op.py,41
exp2,vv,common,5,5,3,5,1,4.2,14,P0,fla/ops/utils/op.py,19
swish_bwd_kernel,vv,activations,5,5,3,4,1,4.15,15,P0,fla/modules/activations.py,355
sigmoid_fwd_kernel,vv,activations,5,5,3,4,1,4.15,16,P0,fla/modules/activations.py,85
logsigmoid_bwd_kernel,vv,activations,5,5,3,4,1,4.15,17,P0,fla/modules/activations.py,230
swish_fwd_kernel,vv,activations,5,5,3,4,1,4.15,18,P0,fla/modules/activations.py,324
sigmoid_bwd_kernel,vv,activations,5,5,3,4,1,4.15,19,P0,fla/modules/activations.py,115
logsigmoid_fwd_kernel,vv,activations,5,5,3,4,1,4.15,20,P0,fla/modules/activations.py,195
prepare_position_ids_kernel,vv,common,5,5,3,3,1,4.1,21,P0,fla/ops/utils/index.py,24
swiglu_fwd_kernel,vv,activations,5,5,3,3,1,4.1,22,P0,fla/modules/activations.py,552
layer_norm_fwd_kernel1,vv,layernorm,5,4,3,3,3,4.0,23,P0,fla/modules/layernorm.py,267
layer_norm_bwd_kernel1,vv,layernorm,5,4,3,3,3,4.0,24,P0,fla/modules/layernorm.py,457
layer_norm_bwd_kernel,vv,layernorm,5,4,3,2,3,3.95,25,P1,fla/modules/layernorm.py,340
layer_norm_fwd_kernel,vv,layernorm,5,4,3,2,3,3.95,26,P1,fla/modules/layernorm.py,193
softplus_nv,vv,common,5,3,3,5,1,3.6,27,P1,fla/ops/utils/softplus.py,68
softplus2_nv,vv,common,5,3,3,5,1,3.6,28,P1,fla/ops/utils/softplus.py,89
softplus_triton,vv,common,5,3,3,5,1,3.6,29,P1,fla/ops/utils/softplus.py,84
softplus2_triton,vv,common,5,3,3,5,1,3.6,30,P1,fla/ops/utils/softplus.py,105
cross_entropy_kernel,vv,fused_linear_cross_entropy,5,2,3,4,3,3.45,31,P1,fla/modules/fused_linear_cross_entropy.py,94
layer_norm_fwd_kernel_quant,vv,fused_bitlinear,3,4,3,5,3,3.4,32,P1,fla/modules/fused_bitlinear.py,72
cross_entropy_fwd_kernel,vv,fused_cross_entropy,5,2,3,3,3,3.4,33,P1,fla/modules/fused_cross_entropy.py,30
rotary_embedding_kernel,vv,rotary,4,3,3,3,3,3.35,34,P1,fla/modules/rotary.py,46
cross_entropy_bwd_kernel,vv,fused_cross_entropy,5,2,3,3,2,3.3,35,P1,fla/modules/fused_cross_entropy.py,106
logsumexp_fwd_kernel,vv,fused_linear_cross_entropy,5,2,3,5,1,3.3,36,P1,fla/modules/fused_linear_cross_entropy.py,42
elementwise_mul_kernel,vv,fused_linear_cross_entropy,5,2,3,3,2,3.3,37,P1,fla/modules/fused_linear_cross_entropy.py,242
token_shift_bwd_kernel_short,vv,token_shift,2,5,3,3,3,3.25,38,P1,fla/modules/token_shift.py,233
token_shift_fwd_kernel_long,vv,token_shift,2,5,3,3,3,3.25,39,P1,fla/modules/token_shift.py,159
chunk_fwd_kernel_h,cv/cube,common,2,5,3,1,4,3.25,40,P1,fla/ops/common/chunk_h.py,35
token_shift_fwd_kernel_short,vv,token_shift,2,5,3,3,3,3.25,41,P1,fla/modules/token_shift.py,67
layer_norm_bwd_kernel,vv,fused_bitlinear,3,4,3,2,3,3.25,42,P1,fla/modules/fused_bitlinear.py,207
chunk_bwd_kernel_dh,cv/cube,common,2,5,3,1,4,3.25,43,P1,fla/ops/common/chunk_h.py,162
token_shift_bwd_kernel_long,vv,token_shift,2,5,3,3,3,3.25,44,P1,fla/modules/token_shift.py,311
layer_norm_fwd_kernel,vv,layernorm_gated,2,5,3,2,3,3.2,45,P1,fla/modules/layernorm_gated.py,54
layer_norm_bwd_kernel,vv,layernorm_gated,2,5,3,2,3,3.2,46,P1,fla/modules/layernorm_gated.py,186
chunk_local_cumsum_scalar_kernel,vv,common,2,5,3,3,2,3.15,47,P1,fla/ops/utils/cumsum.py,30
chunk_global_cumsum_scalar_kernel,vv,common,2,5,3,3,2,3.15,48,P1,fla/ops/utils/cumsum.py,143
chunk_local_cumsum_vector_kernel,vv,common,2,5,3,3,2,3.15,49,P1,fla/ops/utils/cumsum.py,85
chunk_global_cumsum_vector_kernel,vv,common,2,5,3,3,2,3.15,50,P1,fla/ops/utils/cumsum.py,203
layer_norm_gated_bwd_kernel,vv,fused_norm_gate,3,3,3,5,3,3.1,51,P1,fla/modules/fused_norm_gate.py,201
layer_norm_gated_fwd_kernel,vv,fused_norm_gate,3,3,3,5,3,3.1,52,P1,fla/modules/fused_norm_gate.py,34
layer_norm_gated_fwd_kernel1,vv,fused_norm_gate,3,3,3,5,3,3.1,53,P1,fla/modules/fused_norm_gate.py,120
